Episodio,RecompensaTotal,Pasos,Epsilon
0,-294.0,70,0.08224322824348486
1,-10,1,0.08183201210226744
2,-10,1,0.0814228520417561
3,-10,1,0.08101573778154732
4,-10,1,0.08061065909263958
5,-10,1,0.08020760579717638
6,-10,1,0.0798065677681905
7,-10,1,0.07940753492934956
8,-10,1,0.07901049725470281
9,-10,1,0.0786154447684293
10,-10,1,0.07822236754458715
11,-10,1,0.07783125570686422
12,-10,1,0.0774420994283299
13,-10,1,0.07705488893118825
14,-10,1,0.07666961448653231
15,-10,1,0.07628626641409965
16,-10,1,0.07590483508202915
17,-10,1,0.075525310906619
18,-10,1,0.07514768435208591
19,-10,1,0.07477194593032548
20,-10,1,0.07439808620067385
21,-10,1,0.07402609576967048
22,-10,1,0.07365596529082213
23,-10,1,0.07328768546436802
24,-10,1,0.07292124703704618
25,-10,1,0.07255664080186094
26,-10,1,0.07219385759785164
27,-10,1,0.07183288830986238
28,-10,1,0.07147372386831308
29,-10,1,0.07111635524897152
30,-10,1,0.07076077347272666
31,-10,1,0.07040696960536302
32,-10,1,0.0700549347573362
33,-10,1,0.06970466008354953
34,-10,1,0.06935613678313178
35,-10,1,0.06900935609921612
36,-10,1,0.06866430931872003
37,-10,1,0.06832098777212643
38,-10,1,0.0679793828332658
39,-10,1,0.06763948591909946
40,-10,1,0.06730128848950397
41,-10,1,0.06696478204705644
42,-10,1,0.06662995813682115
43,-10,1,0.06629680834613705
44,-10,1,0.06596532430440637
45,-10,1,0.06563549768288433
46,-10,1,0.06530732019446991
47,-10,1,0.06498078359349757
48,-10,1,0.06465587967553008
49,-10,1,0.06433260027715243
50,-10,1,0.06401093727576666
51,-10,1,0.06369088258938783
52,-10,1,0.0633724281764409
53,-10,1,0.06305556603555869
54,-10,1,0.0627402882053809
55,-10,1,0.062426586764353996
56,-10,1,0.062114453830532226
57,-10,1,0.061803881561379566
58,-10,1,0.061494862153572666
59,-10,1,0.0611873878428048
60,-10,1,0.060881450903590775
61,-10,1,0.06057704364907282
62,-10,1,0.06027415843082746
63,-10,1,0.05997278763867332
64,-10,1,0.059672923700479955
65,-10,1,0.05937455908197756
66,-10,1,0.05907768628656767
67,-10,1,0.05878229785513483
68,-10,1,0.05848838636585915
69,-10,1,0.05819594443402985
70,-10,1,0.057904964711859706
71,-10,1,0.05761543988830041
72,-10,1,0.05732736268885891
73,-10,1,0.05704072587541461
74,-10,1,0.05675552224603753
75,-10,1,0.05647174463480734
76,-10,1,0.056189385911633305
77,-10,1,0.05590843898207514
78,-10,1,0.05562889678716477
79,-10,1,0.055350752303228945
80,-10,1,0.0550739985417128
81,-10,1,0.05479862854900423
82,-10,1,0.05452463540625921
83,-10,1,0.05425201222922791
84,-10,1,0.05398075216808177
85,-10,1,0.053710848407241364
86,-10,1,0.053442294165205156
87,-10,1,0.05317508269437913
88,-10,1,0.052909207280907235
89,-10,1,0.0526446612445027
90,-10,1,0.052381437938280186
91,-10,1,0.052119530748588785
92,-10,1,0.05185893309484584
93,-10,1,0.05159963842937161
94,-10,1,0.051341640237224755
95,-10,1,0.05108493203603863
96,-10,1,0.05082950737585844
97,-10,1,0.05057535983897914
98,-10,1,0.050322483039784247
99,-10,1,0.050070870624585324
100,-10,1,0.049820516271462396
